
==========

Using device:  cuda
Model: dinov2
Learning Rate: 0.0004
LR Scheduler: cosinealr
Epochs: 10
Batch Size: 128

==========Starting Training========

Epoch [1/10] - Batch [83/250] Loss: 0.89, CurLR: 0.0004
Epoch [1/10] - Batch [84/250] Loss: 0.94, CurLR: 0.0004
Epoch [1/10] - Batch [85/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [86/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [87/250] Loss: 0.87, CurLR: 0.0004
Epoch [1/10] - Batch [88/250] Loss: 0.89, CurLR: 0.0004
Epoch [1/10] - Batch [89/250] Loss: 0.84, CurLR: 0.0004
Epoch [1/10] - Batch [90/250] Loss: 0.94, CurLR: 0.0004
Epoch [1/10] - Batch [91/250] Loss: 0.87, CurLR: 0.0004
Epoch [1/10] - Batch [92/250] Loss: 0.96, CurLR: 0.0004
Epoch [1/10] - Batch [93/250] Loss: 0.85, CurLR: 0.0004
Epoch [1/10] - Batch [94/250] Loss: 0.93, CurLR: 0.0004
Epoch [1/10] - Batch [95/250] Loss: 1.00, CurLR: 0.0004
Epoch [1/10] - Batch [96/250] Loss: 0.92, CurLR: 0.0004
Epoch [1/10] - Batch [97/250] Loss: 1.02, CurLR: 0.0004
Epoch [1/10] - Batch [98/250] Loss: 1.06, CurLR: 0.0004
Epoch [1/10] - Batch [99/250] Loss: 0.93, CurLR: 0.0004
Epoch [1/10] - Batch [100/250] Loss: 0.76, CurLR: 0.0004
Epoch [1/10] - Batch [101/250] Loss: 0.95, CurLR: 0.0004
Epoch [1/10] - Batch [102/250] Loss: 0.80, CurLR: 0.0004
Epoch [1/10] - Batch [103/250] Loss: 1.02, CurLR: 0.0004
Epoch [1/10] - Batch [104/250] Loss: 0.76, CurLR: 0.0004
Epoch [1/10] - Batch [105/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [106/250] Loss: 0.76, CurLR: 0.0004
Epoch [1/10] - Batch [107/250] Loss: 0.84, CurLR: 0.0004
Epoch [1/10] - Batch [108/250] Loss: 0.71, CurLR: 0.0004
Epoch [1/10] - Batch [109/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [110/250] Loss: 0.78, CurLR: 0.0004
Epoch [1/10] - Batch [111/250] Loss: 0.94, CurLR: 0.0004
Epoch [1/10] - Batch [112/250] Loss: 0.78, CurLR: 0.0004
Epoch [1/10] - Batch [113/250] Loss: 0.88, CurLR: 0.0004
Epoch [1/10] - Batch [114/250] Loss: 0.84, CurLR: 0.0004
Epoch [1/10] - Batch [115/250] Loss: 0.88, CurLR: 0.0004
Epoch [1/10] - Batch [116/250] Loss: 0.87, CurLR: 0.0004
Epoch [1/10] - Batch [117/250] Loss: 0.75, CurLR: 0.0004
Epoch [1/10] - Batch [118/250] Loss: 0.71, CurLR: 0.0004
Epoch [1/10] - Batch [119/250] Loss: 1.11, CurLR: 0.0004
Epoch [1/10] - Batch [120/250] Loss: 0.89, CurLR: 0.0004
Epoch [1/10] - Batch [121/250] Loss: 0.87, CurLR: 0.0004
Epoch [1/10] - Batch [122/250] Loss: 0.84, CurLR: 0.0004
