
==========

Using device:  cuda
Model: vit_base
Learning Rate: 0.0003
LR Scheduler: None
Epochs: 5
Batch Size: 32

==========Starting Training========

Epoch [1/5] - Batch [1/1000] Loss: 3.88, CurLR: 0.0003
Epoch [1/5] - Batch [2/1000] Loss: 3.78, CurLR: 0.0003
Epoch [1/5] - Batch [3/1000] Loss: 4.01, CurLR: 0.0003
Epoch [1/5] - Batch [4/1000] Loss: 3.99, CurLR: 0.0003
Epoch [1/5] - Batch [5/1000] Loss: 3.94, CurLR: 0.0003
Epoch [1/5] - Batch [6/1000] Loss: 3.97, CurLR: 0.0003
Epoch [1/5] - Batch [7/1000] Loss: 3.87, CurLR: 0.0003
Epoch [1/5] - Batch [8/1000] Loss: 3.92, CurLR: 0.0003
Epoch [1/5] - Batch [9/1000] Loss: 3.89, CurLR: 0.0003
Epoch [1/5] - Batch [10/1000] Loss: 3.86, CurLR: 0.0003
Epoch [1/5] - Batch [11/1000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [12/1000] Loss: 3.96, CurLR: 0.0003
Epoch [1/5] - Batch [13/1000] Loss: 3.70, CurLR: 0.0003
Epoch [1/5] - Batch [14/1000] Loss: 3.88, CurLR: 0.0003
Epoch [1/5] - Batch [15/1000] Loss: 3.64, CurLR: 0.0003
Epoch [1/5] - Batch [16/1000] Loss: 3.77, CurLR: 0.0003
Epoch [1/5] - Batch [17/1000] Loss: 3.84, CurLR: 0.0003
Epoch [1/5] - Batch [18/1000] Loss: 3.66, CurLR: 0.0003
Epoch [1/5] - Batch [19/1000] Loss: 3.67, CurLR: 0.0003
Epoch [1/5] - Batch [20/1000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [21/1000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [22/1000] Loss: 3.62, CurLR: 0.0003
Epoch [1/5] - Batch [23/1000] Loss: 3.67, CurLR: 0.0003
Epoch [1/5] - Batch [24/1000] Loss: 3.74, CurLR: 0.0003
Epoch [1/5] - Batch [25/1000] Loss: 3.69, CurLR: 0.0003
